"text","extracted_text","cleaned_text","normalized_text","processed","sentiment_label","likes","reply_count","created_time_formatted"
"💥’s comment: batas umur,dikira yang tua udah ga perlu mkan🗿","batas umur,dikira yang tua udah ga perlu mkan🗿","batas umurdikira yang tua udah ga perlu mkan","batas umurdikira yang tua sudah tidak perlu mkan","batas umurdikira tua mkan","netral","0","0","2025-02-17 06:03:39"
"hartawibawa6’s comment: saya juga meragukan nasionalisme anda Pak...mempertontonkan kemiskinan rakyat yg sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon","saya juga meragukan nasionalisme anda Pak...mempertontonkan kemiskinan rakyat yg sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon","saya juga meragukan nasionalisme anda pakmempertontonkan kemiskinan rakyat yg sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon","saya juga meragukan nasionalisme anda pakmempertontonkan kemiskinan rakyat yang sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon","ragu nasionalisme pakmempertontonkan miskin rakyat berat hidup tinggal antre panas hujan bijak melon","negatif","0","0","2025-02-20 02:24:18"
"Rosyidatus Safira’s comment: bismillah. kita usahakan ini😇","bismillah. kita usahakan ini😇","bismillah kita usahakan ini","bismillah kita usahakan ini","bismillah usaha","positif","0","0","2025-02-12 11:12:57"
"Muhammad Ferdian Azra’s comment: 2 trend paling relate
1 : #percumalaporpolisi
2: #kaburajadulu","2 trend paling relate
1 : #percumalaporpolisi
2: #kaburajadulu","2 trend paling relate 1 2","2 trend paling relate 1 2","trend relate","netral","89064","139","2025-02-12 19:59:41"
"aayyay’s comment: ""Teman-teman"" emg kita temen lo?","""Teman-teman"" emg kita temen lo?","temanteman emg kita temen lo","temanteman memang kita temen kamu","temanteman temen","netral","0","0","2025-02-19 10:18:46"
"Adhe Zulfa Rajwa’s comment: masyarakat indo yg ragu nasionalisme mu pak","masyarakat indo yg ragu nasionalisme mu pak","masyarakat indo yg ragu nasionalisme mu pak","masyarakat indonesia yang ragu nasionalisme mu pak","masyarakat indonesia ragu nasionalisme","negatif","0","0","2025-02-16 07:05:19"
"fakelbrmsta’s comment: ini serius pajak kita cumn dibayar org begituan? klo di luar negri kita bayar pajak terasa olh kita sndri lho, mulai dari fasilitas trus org² sekitar, dan ke amanan","ini serius pajak kita cumn dibayar org begituan? klo di luar negri kita bayar pajak terasa olh kita sndri lho, mulai dari fasilitas trus org² sekitar, dan ke amanan","ini serius pajak kita cumn dibayar org begituan klo di luar negri kita bayar pajak terasa olh kita sndri lho mulai dari fasilitas trus org² sekitar dan ke amanan","ini serius pajak kita cumn dibayar orang begituan kalau di luar negri kita bayar pajak terasa olh kita sndri lho mulai dari fasilitas trus org² sekitar dan ke amanan","serius pajak cumn bayar orang begitu negri bayar pajak olh sndri fasilitas trus aman","negatif","5","0","2025-02-12 01:45:14"
"laah saya malah meragukan anda pak😅,,,,","laah saya malah meragukan anda pak😅,,,,","laah saya malah meragukan anda pak","laah saya malah meragukan anda pak","laah ragu","negatif","0","0","2025-02-16 12:52:38"
"ayaxoel🇮🇩🇰🇷🇹🇼’s comment: aku udah dri 2023😂😂","aku udah dri 2023😂😂","aku udah dri 2023","saya sudah dri 2023","dri","positif","0","0","2025-02-14 15:05:16"
"roylumlkrkk’s comment: beliau lupa klo org indo di tantang malah makin nekat😂😁","beliau lupa klo org indo di tantang malah makin nekat😂😁","beliau lupa klo org indo di tantang malah makin nekat","beliau lupa kalau orang indonesia di tantang malah makin nekat","beliau lupa orang indonesia tantang nekat","positif","0","0","2025-02-16 11:50:33"
"cungcsss’s comment: tanah air sedang tidak baik"" bro","tanah air sedang tidak baik"" bro","tanah air sedang tidak baik bro","tanah air sedang tidak baik bro","tanah air bro","negatif","0","0","2025-02-15 08:53:56"
"lalas mejar’s comment: krna di negara sendiri sangat susah utk berkembang dan maju,susah mencari pekerjaan dgan syarat2 yg dtentukan dan kriteria dluar negeri gaji pendapatan besar walaupun ijazah SMA","krna di negara sendiri sangat susah utk berkembang dan maju,susah mencari pekerjaan dgan syarat2 yg dtentukan dan kriteria dluar negeri gaji pendapatan besar walaupun ijazah SMA","krna di negara sendiri sangat susah utk berkembang dan majususah mencari pekerjaan dgan syarat2 yg dtentukan dan kriteria dluar negeri gaji pendapatan besar walaupun ijazah sma","krna di negara sendiri sangat susah untuk berkembang dan majususah mencari pekerjaan dgan syarat2 yang dtentukan dan kriteria dluar negeri gaji pendapatan besar walaupun ijazah sma","krna negara susah kembang majususah cari kerja dgan dtentukan kriteria dluar negeri gaji dapat ijazah sma","positif","0","0","2025-02-17 03:49:35"
"noerhayat’s comment: jangan ajari rakyat masalah nasionalisme.","jangan ajari rakyat masalah nasionalisme.","jangan ajari rakyat masalah nasionalisme","jangan ajari rakyat masalah nasionalisme","ajar rakyat nasionalisme","negatif","0","0","2025-02-17 14:51:06"
"rita05hutajulu’s comment: bener kabur","bener kabur","bener kabur","benar kabur","kabur","positif","0","0","2025-02-23 05:46:02"
"⦸’s comment: di indonesia kerja belom anteng aja udh kena cut grgr efisiensi negara. 🤣🤣🤣","di indonesia kerja belom anteng aja udh kena cut grgr efisiensi negara. 🤣🤣🤣","di indonesia kerja belom anteng aja udh kena cut grgr efisiensi negara","di indonesia kerja belom anteng aja sudah kena cut grgr efisiensi negara","indonesia kerja bom anteng aja kena cut grgr efisiensi negara","negatif","1","0","2025-02-12 06:28:38"
"Bobobo22’s comment: ulang tatanan negara dari awal ganti org yg gak berkompeten, otk2 duit langsung di berhentikan. indo negara kaya masa gini lucu kadang","ulang tatanan negara dari awal ganti org yg gak berkompeten, otk2 duit langsung di berhentikan. indo negara kaya masa gini lucu kadang","ulang tatanan negara dari awal ganti org yg gak berkompeten otk2 duit langsung di berhentikan indo negara kaya masa gini lucu kadang","ulang tatanan negara dari awal ganti orang yang tidak berkompeten otk2 duit langsung di berhentikan indonesia negara kaya masa gini lucu kadang","ulang tatanan negara ganti orang kompeten duit langsung henti indonesia negara kaya gin lucu kadang","negatif","0","0","2025-02-16 05:53:33"
"’s comment: mau ikut trend ini tapi belum lulus sekolah","mau ikut trend ini tapi belum lulus sekolah","mau ikut trend ini tapi belum lulus sekolah","mau ikut trend ini tapi belum lulus sekolah","trend lulus sekolah","netral","0","0","2025-02-13 12:27:24"
"Jungie’s comment: Gas dah","Gas dah","gas dah","gas dah","gas dah","positif","0","0","2025-02-23 02:46:48"
"Gw malah suka di luar negri😂","Gw malah suka di luar negri😂","gw malah suka di luar negri","saya malah suka di luar negri","suka negri","positif","1","0","2025-02-13 03:22:44"
"@리치씨 join trend mas rik 😂😂","@리치씨 join trend mas rik 😂😂","join trend mas rik","join trend mas rik","join trend mas rik","netral","0","1","2025-02-15 14:09:28"
"ar'daraka09’s comment: sy mau pindah k japan jd petani sy mau","sy mau pindah k japan jd petani sy mau","sy mau pindah k japan jd petani sy mau","saya mau pindah ke japan jadi petani saya mau","pindah japan tani","positif","0","0","2025-02-16 17:53:35"
"うえぽん’s comment: Sedang aku usahakan🥰","Sedang aku usahakan🥰","sedang aku usahakan","sedang saya usahakan","usaha","positif","0","0","2025-03-02 10:19:54"
