"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","tokens_no_stopwords_and_stemmed_formatted","processed","likes","reply_count","created_time_formatted","is_pinned","is_reply","user_verified","comment_language","sentiment_label"
"adyn’s comment: udah kabur dari 2022 🤣🤣🤣","udah kabur dari 2022 🤣🤣🤣","udah kabur dari 2022","sudah kabur dari 2022","['kabur']","[kabur]","kabur","0","0","2025-02-14 15:56:33","False","True","False","id","netral"
"mau bgt. . #kaburajadulu#😁 knp g dr dulu..","mau bgt. . #kaburajadulu#😁 knp g dr dulu..","mau bgt knp g dr dulu","mau banget knp tidak dari dulu","['banget', 'knp']","[banget, knp]","banget knp","2","0","2025-02-12 14:16:59","False","True","False","id","positif"
"terus pejabat yg korupsi itu nasionalis nya dmn ??? 🤣","terus pejabat yg korupsi itu nasionalis nya dmn ??? 🤣","terus pejabat yg korupsi itu nasionalis nya dmn","terus pejabat yang korupsi itu nasionalis nya dmn","['jabat', 'korupsi', 'nasionalis', 'dmn']","[jabat, korupsi, nasionalis, dmn]","jabat korupsi nasionalis dmn","1","0","2025-02-12 11:34:07","False","True","False","id","negatif"
"Yang perlu di pertanyakan itu sebenarnya orang2 yg korupsi,, itu perlu di ragukan nasionalismenya,, jaman sekarang emang bisa nasionalisme doang bisa memenuhi kebutuhan,, realistis aja si,,","Yang perlu di pertanyakan itu sebenarnya orang2 yg korupsi,, itu perlu di ragukan nasionalismenya,, jaman sekarang emang bisa nasionalisme doang bisa memenuhi kebutuhan,, realistis aja si,,","yang perlu di pertanyakan itu sebenarnya orang2 yg korupsi itu perlu di ragukan nasionalismenya jaman sekarang emang bisa nasionalisme doang bisa memenuhi kebutuhan realistis aja si","yang perlu di pertanyakan itu sebenarnya orang2 yang korupsi itu perlu di ragukan nasionalismenya jaman sekarang memang bisa nasionalisme doang bisa memenuhi kebutuhan realistis aja si","['korupsi', 'ragu', 'nasionalisme', 'jaman', 'nasionalisme', 'doang', 'penuh', 'butuh', 'realistis', 'aja']","[korupsi, ragu, nasionalisme, jaman, nasionalisme, doang, penuh, butuh, realistis, aja]","korupsi ragu nasionalisme jaman nasionalisme doang penuh butuh realistis aja","0","0","2025-02-15 10:25:27","False","True","False","id","negatif"
"parashittttt’s comment: bismillah japan😍 #kaburajadulu","bismillah japan😍 #kaburajadulu","bismillah japan","bismillah japan","['bismillah', 'japan']","[bismillah, japan]","bismillah japan","1","0","2025-02-15 08:12:44","False","True","False","id","positif"
"ini siapa sih, ngomong kaya gak ada saringan nya","ini siapa sih, ngomong kaya gak ada saringan nya","ini siapa sih ngomong kaya gak ada saringan nya","ini siapa sih ngomong kaya tidak ada saringan nya","['ngomong', 'kaya', 'saring']","[ngomong, kaya, saring]","ngomong kaya saring","0","0","2025-02-22 02:22:35","False","True","False","id","netral"
"dina desiana’s comment: ""sampai lapangan kerja yang DIANGGAP minim"", lah emang minim😶lapangan kerja minim Gaji/Upah minim Fakta nya di lapangan emang begitu🙃","""sampai lapangan kerja yang DIANGGAP minim"", lah emang minim😶lapangan kerja minim Gaji/Upah minim Fakta nya di lapangan emang begitu🙃","sampai lapangan kerja yang dianggap minim lah emang minimlapangan kerja minim gajiupah minim fakta nya di lapangan emang begitu","sampai lapangan kerja yang dianggap minim lah memang minimlapangan kerja minim gajiupah minim fakta nya di lapangan memang begitu","['lapang', 'kerja', 'anggap', 'minim', 'minimlapangan', 'kerja', 'minim', 'gajiupah', 'minim', 'fakta', 'lapang']","[lapang, kerja, anggap, minim, minimlapangan, kerja, minim, gajiupah, minim, fakta, lapang]","lapang kerja anggap minim minimlapangan kerja minim gajiupah minim fakta lapang","0","0","2025-02-14 12:19:11","False","True","False","id","negatif"
"persetan nasionalisme, dinegara yg pejabatnya masih bikin rakyat sengsara","persetan nasionalisme, dinegara yg pejabatnya masih bikin rakyat sengsara","persetan nasionalisme dinegara yg pejabatnya masih bikin rakyat sengsara","persetan nasionalisme dinegara yang pejabatnya masih bikin rakyat sengsara","['persetan', 'nasionalisme', 'negara', 'jabat', 'bikin', 'rakyat', 'sengsara']","[persetan, nasionalisme, negara, jabat, bikin, rakyat, sengsara]","persetan nasionalisme negara jabat bikin rakyat sengsara","1","0","2025-02-12 11:39:46","False","True","False","id","negatif"
"kami tetap lapar kalau cuma modal nasionalisme ... 😅","kami tetap lapar kalau cuma modal nasionalisme ... 😅","kami tetap lapar kalau cuma modal nasionalisme","kami tetap lapar kalau cuma modal nasionalisme","['lapar', 'modal', 'nasionalisme']","[lapar, modal, nasionalisme]","lapar modal nasionalisme","0","0","2025-02-17 05:58:22","False","True","False","id","negatif"
"Seona’s comment: Iya😭 susah poll cari kerja","Iya😭 susah poll cari kerja","iya susah poll cari kerja","iya susah poll cari kerja","['iya', 'susah', 'poll', 'cari', 'kerja']","[iya, susah, poll, cari, kerja]","iya susah poll cari kerja","0","0","2025-02-20 12:52:57","False","True","False","id","positif"
"Alrinaldi Bhendank’s comment: Konoha, oh konoha...","Konoha, oh konoha...","konoha oh konoha","konoha oh konoha","['konoha', 'konoha']","[konoha, konoha]","konoha konoha","0","0","2025-02-16 15:57:11","False","True","False","ja","netral"
"nasionalisme akan hilang kalau tidak ada kesejahteraan wkwk","nasionalisme akan hilang kalau tidak ada kesejahteraan wkwk","nasionalisme akan hilang kalau tidak ada kesejahteraan wkwk","nasionalisme akan hilang kalau tidak ada kesejahteraan wkwk","['nasionalisme', 'hilang', 'sejahtera', 'wkwk']","[nasionalisme, hilang, sejahtera, wkwk]","nasionalisme hilang sejahtera wkwk","1","0","2025-02-12 15:22:54","False","True","False","id","negatif"
"who are ???’s comment: kabur aja dulu😏","kabur aja dulu😏","kabur aja dulu","kabur aja dulu","['kabur', 'aja']","[kabur, aja]","kabur aja","1","0","2025-02-12 10:42:35","False","True","False","id","positif"
"applee🦋’s comment: Soon!!! This is my dream✨✨✨","Soon!!! This is my dream✨✨✨","soon this is my dream","soon this is my dream","['soon', 'this', 'is', 'my', 'dream']","[soon, this, is, my, dream]","soon this is my dream","0","0","2025-02-12 13:01:01","False","True","False","en","positif"
"Mimi.Pinky🌸’s comment: Pengen kabur tapi ak masih cinta dia 🤣","Pengen kabur tapi ak masih cinta dia 🤣","pengen kabur tapi ak masih cinta dia","ingin kabur tapi ak masih cinta dia","['kabur', 'ak', 'cinta']","[kabur, ak, cinta]","kabur ak cinta","0","0","2025-02-15 22:55:10","False","True","False","id","positif"
"♉°~Taurus~°♉’s comment: ikut bng 😂di sini mau kerja aj harus perpenampilan menarik,,di kira ny yg gak menarik it gak butuh mkn 😭","ikut bng 😂di sini mau kerja aj harus perpenampilan menarik,,di kira ny yg gak menarik it gak butuh mkn 😭","ikut bng di sini mau kerja aj harus perpenampilan menarikdi kira ny yg gak menarik it gak butuh mkn","ikut bng di sini mau kerja aj harus perpenampilan menarikdi kira nya yang tidak menarik it tidak butuh mkn","['bng', 'kerja', 'aj', 'tampil', 'menarikdi', 'tarik', 'it', 'butuh', 'mkn']","[bng, kerja, aj, tampil, menarikdi, tarik, it, butuh, mkn]","bng kerja aj tampil menarikdi tarik it butuh mkn","2","0","2025-02-19 15:07:03","False","True","False","id","negatif"
"kabur aja dulu👍👍👍","kabur aja dulu👍👍👍","kabur aja dulu","kabur aja dulu","['kabur', 'aja']","[kabur, aja]","kabur aja","0","0","2025-02-18 03:33:27","False","True","False","id","positif"
"betul bang,modal nasionalisme gak bikin kaya 😂","betul bang,modal nasionalisme gak bikin kaya 😂","betul bangmodal nasionalisme gak bikin kaya","betul bangmodal nasionalisme tidak bikin kaya","['bangmodal', 'nasionalisme', 'bikin', 'kaya']","[bangmodal, nasionalisme, bikin, kaya]","bangmodal nasionalisme bikin kaya","0","0","2025-02-18 11:01:10","False","True","False","id","negatif"
"lady.saa’s comment: asik bgt, ikutan ah","asik bgt, ikutan ah","asik bgt ikutan ah","asik banget ikutan ah","['asik', 'banget', 'ikut']","[asik, banget, ikut]","asik banget ikut","0","0","2025-02-17 03:45:13","False","True","False","id","positif"
"m.fakhruddin Attar’s comment: aku bntar lgi otw luar negri💪🏻😁","aku bntar lgi otw luar negri💪🏻😁","aku bntar lgi otw luar negri","saya bntar lgi otw luar negri","['bntar', 'lgi', 'otw', 'negri']","[bntar, lgi, otw, negri]","bntar lgi otw negri","0","0","2025-02-16 07:58:41","False","True","False","id","positif"
