"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","tokens_no_stopwords_and_stemmed_formatted","processed","likes","reply_count","created_time_formatted","is_pinned","is_reply","user_verified","comment_language","sentiment_label"
"°neutaaa’s comment: betah ya bang di koreaa,semoga nular yaa aamiin🫂🫂","betah ya bang di koreaa,semoga nular yaa aamiin🫂🫂","betah ya bang di koreaasemoga nular yaa aamiin","betah ya bang di koreaasemoga nular yaa aamiin","['betah', 'bang', 'koreaasemoga', 'nular', 'yaa', 'aamiin']","[betah, bang, koreaasemoga, nular, yaa, aamiin]","betah bang koreaasemoga nular yaa aamiin","0","0","2025-02-20 22:29:56","False","True","False","id","positif"
"Bocil_TUO’s comment: masuk👍👏🏼👏🏼","masuk👍👏🏼👏🏼","masuk","masuk","['masuk']","[masuk]","masuk","0","0","2025-02-19 07:06:59","False","True","False","ms","positif"
"Mila Kinan’s comment: pejabat cuma sayang uang pajak kita😭","pejabat cuma sayang uang pajak kita😭","pejabat cuma sayang uang pajak kita","pejabat cuma sayang uang pajak kita","['jabat', 'sayang', 'uang', 'pajak']","[jabat, sayang, uang, pajak]","jabat sayang uang pajak","0","0","2025-02-17 11:18:05","False","True","False","id","negatif"
"𝙂𝘼𝙈𝙊𝙉 𝙈𝙄𝙉𝙏’s comment: pergi tujuan saya...
korut rusia japan cina","pergi tujuan saya...
korut rusia japan cina","pergi tujuan saya korut rusia japan cina","pergi tujuan saya korut rusia japan cina","['pergi', 'tuju', 'korut', 'rusia', 'japan', 'cina']","[pergi, tuju, korut, rusia, japan, cina]","pergi tuju korut rusia japan cina","0","0","2025-02-16 12:10:50","False","True","False","ms","netral"
"Mrs.PusPus’s comment: aminnnnn #kaburajadulu","aminnnnn #kaburajadulu","aminnnnn","amin","['amin']","[amin]","amin","0","0","2025-02-10 14:50:18","False","True","False","id","positif"
"Vanessa_07🐱🔰’s comment: oww otww🤭","oww otww🤭","oww otww","oww otww","['oww', 'otww']","[oww, otww]","oww otww","1","0","2025-02-15 16:13:42","False","True","False","id","netral"
"Ireng Men’s comment: nanti gw nyusull wowkwowkwkwkwkowk100×","nanti gw nyusull wowkwowkwkwkwkowk100×","nanti gw nyusull wowkwowkwkwkwkowk100","nanti saya nyusull wowkwowkwkwkwkowk100","['nyusull']","[nyusull]","nyusull","0","0","2025-02-18 08:36:09","False","True","False","id","netral"
"Ragill021’s comment: hyu otw Jepang🇯🇵","hyu otw Jepang🇯🇵","hyu otw jepang","hyu otw jepang","['hyu', 'otw', 'jepang']","[hyu, otw, jepang]","hyu otw jepang","1","1","2025-02-19 14:44:28","False","True","False","id","positif"
"anak muda mending keluar negri deh","anak muda mending keluar negri deh","anak muda mending keluar negri deh","anak muda mending keluar negri deh","['anak', 'muda', 'mending', 'negri']","[anak, muda, mending, negri]","anak muda mending negri","0","0","2025-02-18 13:09:29","False","True","False","id","positif"
"🌼TiW🌼’s comment: buat yg mau2 aja kata cimehong","buat yg mau2 aja kata cimehong","buat yg mau2 aja kata cimehong","buat yang mau2 aja kata cimehong","['aja', 'cimehong']","[aja, cimehong]","aja cimehong","0","0","2025-02-16 07:47:34","False","True","False","id","netral"
"Faisol Akbar’s comment: keadilan sosial bagi seluruh rakyat indonesia,bunyi sila ke 5,tapi nyatanya tidak adil","keadilan sosial bagi seluruh rakyat indonesia,bunyi sila ke 5,tapi nyatanya tidak adil","keadilan sosial bagi seluruh rakyat indonesiabunyi sila ke 5tapi nyatanya tidak adil","keadilan sosial bagi seluruh rakyat indonesiabunyi sila ke 5tapi nyatanya tidak adil","['adil', 'sosial', 'rakyat', 'indonesiabunyi', 'sila', 'adil']","[adil, sosial, rakyat, indonesiabunyi, sila, adil]","adil sosial rakyat indonesiabunyi sila adil","0","0","2025-02-14 13:52:05","False","True","False","ms","negatif"
