"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","processed","sentiment_label","likes","reply_count","created_time_formatted"
"brema febrianta Sebayang’s comment: kebanyakan terlalu ngejar seragam🗿","kebanyakan terlalu ngejar seragam🗿","kebanyakan terlalu ngejar seragam","kebanyakan terlalu ngejar seragam","['banyak', 'ngejar', 'seragam']","banyak ngejar seragam","netral","0","0","2025-02-17 13:37:50"
"manifesting 😔🍀","manifesting 😔🍀","manifesting","manifesting","['manifesting']","manifesting","positif","0","0","2025-02-11 06:07:51"
"Seniman Balik Layar’s comment: meragukan nasionalisme karena Indonesia gak ada yg di dapat karena ppn12℅ dan lahan korupsi berkurang, pejabat korep","meragukan nasionalisme karena Indonesia gak ada yg di dapat karena ppn12℅ dan lahan korupsi berkurang, pejabat korep","meragukan nasionalisme karena indonesia gak ada yg di dapat karena ppn12 dan lahan korupsi berkurang pejabat korep","meragukan nasionalisme karena indonesia tidak ada yang di dapat karena ppn12 dan lahan korupsi berkurang pejabat korep","['ragu', 'nasionalisme', 'indonesia', 'lahan', 'korupsi', 'kurang', 'jabat', 'korep']","ragu nasionalisme indonesia lahan korupsi kurang jabat korep","negatif","0","0","2025-02-20 06:29:40"
"kabur ke jepang impian","kabur ke jepang impian","kabur ke jepang impian","kabur ke jepang impian","['kabur', 'jepang', 'impi']","kabur jepang impi","positif","0","0","2025-02-12 06:40:58"
"wektuwek💥’s comment: funkot @ichachelow😂","funkot @ichachelow😂","funkot","funkot","['funkot']","funkot","netral","0","0","2025-02-27 09:15:48"
"mantapp keren...","mantapp keren...","mantapp keren","mantapp keren","['mantapp', 'keren']","mantapp keren","positif","0","0","2025-02-17 10:19:20"
"jeki’s comment: saya bangga aja ngga pak jdi anak bangsa🗿","saya bangga aja ngga pak jdi anak bangsa🗿","saya bangga aja ngga pak jdi anak bangsa","saya bangga aja tidak pak jadi anak bangsa","['bangga', 'aja', 'anak', 'bangsa']","bangga aja anak bangsa","negatif","2","0","2025-02-12 08:02:09"
"nhssee’s comment: pengen benerin alisnya 😭","pengen benerin alisnya 😭","pengen benerin alisnya","ingin benerin alisnya","['benerin', 'alis']","benerin alis","netral","0","0","2025-02-15 05:33:01"
"pengen ikut trend tapi punya ortu yang umur nya udah mau lanjut #tetap bertahan di negeri ini 🐀🚫","pengen ikut trend tapi punya ortu yang umur nya udah mau lanjut #tetap bertahan di negeri ini 🐀🚫","pengen ikut trend tapi punya ortu yang umur nya udah mau lanjut bertahan di negeri ini","ingin ikut trend tapi punya ortu yang umur nya sudah mau lanjut bertahan di negeri ini","['trend', 'ortu', 'umur', 'tahan', 'negeri']","trend ortu umur tahan negeri","negatif","1","0","2025-02-25 10:53:34"
"pili’s comment: siapa yg mau tinggal di negara yg semua nya di persulit","siapa yg mau tinggal di negara yg semua nya di persulit","siapa yg mau tinggal di negara yg semua nya di persulit","siapa yang mau tinggal di negara yang semua nya di persulit","['tinggal', 'negara', 'sulit']","tinggal negara sulit","negatif","0","0","2025-02-19 02:51:46"
"rivai’s comment: gak perlu hujan emas atau hujan batu, yg penting dpt kerja yg layak, meski harus kabur aja dulu. go away nak...","gak perlu hujan emas atau hujan batu, yg penting dpt kerja yg layak, meski harus kabur aja dulu. go away nak...","gak perlu hujan emas atau hujan batu yg penting dpt kerja yg layak meski harus kabur aja dulu go away nak","tidak perlu hujan emas atau hujan batu yang penting dpt kerja yang layak meski harus kabur aja dulu go away nak","['hujan', 'emas', 'hujan', 'batu', 'dpt', 'kerja', 'layak', 'kabur', 'aja', 'go', 'away', 'nak']","hujan emas hujan batu dpt kerja layak kabur aja go away nak","positif","6","0","2025-02-13 13:33:45"
"aku sepakat yg terakhri","aku sepakat yg terakhri","aku sepakat yg terakhri","saya sepakat yang terakhri","['sepakat', 'terakhri']","sepakat terakhri","positif","0","0","2025-02-19 13:59:48"
"Mputt’s comment: indo=s1,s2,s3,es doger,es dawet 1,5 juta","indo=s1,s2,s3,es doger,es dawet 1,5 juta","indos1s2s3es dogeres dawet 15 juta","indos1s2s3es dogeres dawet 15 juta","['dogeres', 'dawet', 'juta']","dogeres dawet juta","netral","0","0","2025-02-16 12:50:54"
"dewia’s comment: gausah kabur asalkan ada org dalem dan punya cuan buat nyogok kalian bisa kerja😂","gausah kabur asalkan ada org dalem dan punya cuan buat nyogok kalian bisa kerja😂","gausah kabur asalkan ada org dalem dan punya cuan buat nyogok kalian bisa kerja","gausah kabur asalkan ada orang dalem dan punya cuan buat nyogok kalian bisa kerja","['gausah', 'kabur', 'orang', 'dalem', 'cuan', 'nyogok', 'kerja']","gausah kabur orang dalem cuan nyogok kerja","negatif","0","0","2025-02-20 06:51:15"
