"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","tokens_no_stopwords_and_stemmed_formatted","processed","likes","reply_count","created_time_formatted","is_pinned","is_reply","user_verified","comment_language","sentiment_label"
"cara awalnya gmn ya aku nyesel lahir d Indonesia bukan tidak cinta tahan air tp karna pejabat karna pemimpinnya, dan sebaginya,","cara awalnya gmn ya aku nyesel lahir d Indonesia bukan tidak cinta tahan air tp karna pejabat karna pemimpinnya, dan sebaginya,","cara awalnya gmn ya aku nyesel lahir d indonesia bukan tidak cinta tahan air tp karna pejabat karna pemimpinnya dan sebaginya","cara awalnya bagaimana ya saya nyesel lahir d indonesia bukan tidak cinta tahan air tp karena pejabat karena pemimpinnya dan sebaginya","['nyesel', 'lahir', 'indonesia', 'cinta', 'tahan', 'air', 'tp', 'jabat', 'pimpin', 'bagi']","[nyesel, lahir, indonesia, cinta, tahan, air, tp, jabat, pimpin, bagi]","nyesel lahir indonesia cinta tahan air tp jabat pimpin bagi","1","0","2025-02-12 10:55:20","False","True","False","id","negatif"
"Nathan’s comment: @noven_281103 yu kita ke thailand nanti","@noven_281103 yu kita ke thailand nanti","yu kita ke thailand nanti","yu kita ke thailand nanti","['yu', 'thailand']","[yu, thailand]","yu thailand","0","0","2025-02-16 03:11:10","False","True","False","id","positif"
"Naumi Editing’s comment: pernyataan menteri itu salah, ini bukan soal nasionalisme. harusnya dukung. anggap saja ini waktunya Indonesian untuk ekspansi penduduk","pernyataan menteri itu salah, ini bukan soal nasionalisme. harusnya dukung. anggap saja ini waktunya Indonesian untuk ekspansi penduduk","pernyataan menteri itu salah ini bukan soal nasionalisme harusnya dukung anggap saja ini waktunya indonesian untuk ekspansi penduduk","pernyataan menteri itu salah ini bukan soal nasionalisme harusnya dukung anggap saja ini waktunya indonesia untuk ekspansi penduduk","['nyata', 'menteri', 'salah', 'nasionalisme', 'dukung', 'anggap', 'indonesia', 'ekspansi', 'duduk']","[nyata, menteri, salah, nasionalisme, dukung, anggap, indonesia, ekspansi, duduk]","nyata menteri salah nasionalisme dukung anggap indonesia ekspansi duduk","0","0","2025-02-14 13:33:01","False","True","False","id","positif"
"DANJEN08’s comment: bner pindah ma merantau tu jlas beda","bner pindah ma merantau tu jlas beda","bner pindah ma merantau tu jlas beda","bner pindah ma merantau itu jlas beda","['bner', 'pindah', 'ma', 'rantau', 'jlas', 'beda']","[bner, pindah, ma, rantau, jlas, beda]","bner pindah ma rantau jlas beda","0","0","2025-02-23 09:35:03","False","True","False","id","negatif"
"Menuju Cahaya☄️’s comment: jangan bahas nasionalis deh, buat apa bertahan untuk menafkahi orang atas gtu?","jangan bahas nasionalis deh, buat apa bertahan untuk menafkahi orang atas gtu?","jangan bahas nasionalis deh buat apa bertahan untuk menafkahi orang atas gtu","jangan bahas nasionalis deh buat apa bertahan untuk menafkahi orang atas begitu","['bahas', 'nasionalis', 'tahan', 'nafkah', 'orang']","[bahas, nasionalis, tahan, nafkah, orang]","bahas nasionalis tahan nafkah orang","0","0","2025-02-20 20:37:33","False","True","False","id","positif"
"𝗥’s comment: makanya buat lapangan kerja mudah dan UMK yang tinggi","makanya buat lapangan kerja mudah dan UMK yang tinggi","makanya buat lapangan kerja mudah dan umk yang tinggi","makanya buat lapangan kerja mudah dan umk yang tinggi","['lapang', 'kerja', 'mudah', 'umk']","[lapang, kerja, mudah, umk]","lapang kerja mudah umk","0","0","2025-02-15 12:54:37","False","True","False","id","positif"
"Muhammad Ferdian Azra’s comment: 2 trend paling relate
1 : #percumalaporpolisi
2: #kaburajadulu","2 trend paling relate
1 : #percumalaporpolisi
2: #kaburajadulu","2 trend paling relate 1 2","2 trend paling relate 1 2","['trend', 'relate']","[trend, relate]","trend relate","89064","139","2025-02-12 19:59:41","False","True","False","id","netral"
"kentutin aza....","kentutin aza....","kentutin aza","kentutin aza","['kentutin', 'aza']","[kentutin, aza]","kentutin aza","0","0","2025-02-16 15:13:40","False","True","False","id","netral"
"panas sapi perahnya kabur ditemu peternak lain🤣🤣🤣🤣","panas sapi perahnya kabur ditemu peternak lain🤣🤣🤣🤣","panas sapi perahnya kabur ditemu peternak lain","panas sapi perahnya kabur ditemu peternak lain","['panas', 'sapi', 'perah', 'kabur', 'temu', 'ternak']","[panas, sapi, perah, kabur, temu, ternak]","panas sapi perah kabur temu ternak","0","0","2025-02-16 00:10:58","False","True","False","id","netral"
"aisyaaa’s comment: ragu aja pak gapapa, keraguan bapak ga bikin saya miskin🙏🏻","ragu aja pak gapapa, keraguan bapak ga bikin saya miskin🙏🏻","ragu aja pak gapapa keraguan bapak ga bikin saya miskin","ragu aja pak gapapa keraguan bapak tidak bikin saya miskin","['ragu', 'aja', 'gapapa', 'ragu', 'bikin', 'miskin']","[ragu, aja, gapapa, ragu, bikin, miskin]","ragu aja gapapa ragu bikin miskin","5","0","2025-02-12 18:38:45","False","True","False","id","netral"
