text,extracted_text,cleaned_text,normalized_text,tokens_no_stopwords_and_stemmed,tokens_no_stopwords_and_stemmed_formatted,processed,likes,reply_count,created_time_formatted,is_pinned,is_reply,user_verified,comment_language
"💥’s comment: batas umur,dikira yang tua udah ga perlu mkan🗿","batas umur,dikira yang tua udah ga perlu mkan🗿",batas umurdikira yang tua udah ga perlu mkan,batas umurdikira yang tua sudah tidak perlu mkan,"['batas', 'umurdikira', 'tua', 'mkan']","[batas, umurdikira, tua, mkan]",batas umurdikira tua mkan,0,0,2025-02-17 06:03:39,False,True,False,id
hartawibawa6’s comment: saya juga meragukan nasionalisme anda Pak...mempertontonkan kemiskinan rakyat yg sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon,saya juga meragukan nasionalisme anda Pak...mempertontonkan kemiskinan rakyat yg sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon,saya juga meragukan nasionalisme anda pakmempertontonkan kemiskinan rakyat yg sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon,saya juga meragukan nasionalisme anda pakmempertontonkan kemiskinan rakyat yang sudah berat hidupnya hingga ada meninggal harus antre kepanasan kehujanan karena kebijakan anda atas si melon,"['ragu', 'nasionalisme', 'pakmempertontonkan', 'miskin', 'rakyat', 'berat', 'hidup', 'tinggal', 'antre', 'panas', 'hujan', 'bijak', 'melon']","[ragu, nasionalisme, pakmempertontonkan, miskin, rakyat, berat, hidup, tinggal, antre, panas, hujan, bijak, melon]",ragu nasionalisme pakmempertontonkan miskin rakyat berat hidup tinggal antre panas hujan bijak melon,0,0,2025-02-20 02:24:18,False,True,False,id
Rosyidatus Safira’s comment: bismillah. kita usahakan ini😇,bismillah. kita usahakan ini😇,bismillah kita usahakan ini,bismillah kita usahakan ini,"['bismillah', 'usaha']","[bismillah, usaha]",bismillah usaha,0,0,2025-02-12 11:12:57,False,True,False,id
"Muhammad Ferdian Azra’s comment: 2 trend paling relate
1 : #percumalaporpolisi
2: #kaburajadulu","2 trend paling relate
1 : #percumalaporpolisi
2: #kaburajadulu",2 trend paling relate 1 2,2 trend paling relate 1 2,"['trend', 'relate']","[trend, relate]",trend relate,89064,139,2025-02-12 19:59:41,False,True,False,id
"aayyay’s comment: ""Teman-teman"" emg kita temen lo?","""Teman-teman"" emg kita temen lo?",temanteman emg kita temen lo,temanteman memang kita temen kamu,"['temanteman', 'temen']","[temanteman, temen]",temanteman temen,0,0,2025-02-19 10:18:46,False,True,False,id
Adhe Zulfa Rajwa’s comment: masyarakat indo yg ragu nasionalisme mu pak,masyarakat indo yg ragu nasionalisme mu pak,masyarakat indo yg ragu nasionalisme mu pak,masyarakat indonesia yang ragu nasionalisme mu pak,"['masyarakat', 'indonesia', 'ragu', 'nasionalisme']","[masyarakat, indonesia, ragu, nasionalisme]",masyarakat indonesia ragu nasionalisme,0,0,2025-02-16 07:05:19,False,True,False,id
"fakelbrmsta’s comment: ini serius pajak kita cumn dibayar org begituan? klo di luar negri kita bayar pajak terasa olh kita sndri lho, mulai dari fasilitas trus org² sekitar, dan ke amanan","ini serius pajak kita cumn dibayar org begituan? klo di luar negri kita bayar pajak terasa olh kita sndri lho, mulai dari fasilitas trus org² sekitar, dan ke amanan",ini serius pajak kita cumn dibayar org begituan klo di luar negri kita bayar pajak terasa olh kita sndri lho mulai dari fasilitas trus org² sekitar dan ke amanan,ini serius pajak kita cumn dibayar orang begituan kalau di luar negri kita bayar pajak terasa olh kita sndri lho mulai dari fasilitas trus org² sekitar dan ke amanan,"['serius', 'pajak', 'cumn', 'bayar', 'orang', 'begitu', 'negri', 'bayar', 'pajak', 'olh', 'sndri', 'fasilitas', 'trus', 'aman']","[serius, pajak, cumn, bayar, orang, begitu, negri, bayar, pajak, olh, sndri, fasilitas, trus, aman]",serius pajak cumn bayar orang begitu negri bayar pajak olh sndri fasilitas trus aman,5,0,2025-02-12 01:45:14,False,True,False,id
"laah saya malah meragukan anda pak😅,,,,","laah saya malah meragukan anda pak😅,,,,",laah saya malah meragukan anda pak,laah saya malah meragukan anda pak,"['laah', 'ragu']","[laah, ragu]",laah ragu,0,0,2025-02-16 12:52:38,False,True,False,id
ayaxoel🇮🇩🇰🇷🇹🇼’s comment: aku udah dri 2023😂😂,aku udah dri 2023😂😂,aku udah dri 2023,saya sudah dri 2023,['dri'],[dri],dri,0,0,2025-02-14 15:05:16,False,True,False,id
roylumlkrkk’s comment: beliau lupa klo org indo di tantang malah makin nekat😂😁,beliau lupa klo org indo di tantang malah makin nekat😂😁,beliau lupa klo org indo di tantang malah makin nekat,beliau lupa kalau orang indonesia di tantang malah makin nekat,"['beliau', 'lupa', 'orang', 'indonesia', 'tantang', 'nekat']","[beliau, lupa, orang, indonesia, tantang, nekat]",beliau lupa orang indonesia tantang nekat,0,0,2025-02-16 11:50:33,False,True,False,id
